id,Geography1,Area (sq km),Estimated Population mid-2018,2018 people per sq. km
Wigan,Metropolitan District,188,326088,1733
Wiltshire,Unitary Authority,3255,498064,153
Windsor and Maidenhead,Unitary Authority,197,150906,768
Wirral,Metropolitan District,157,323235,2058
Wokingham,Unitary Authority,179,167979,939
Wolverhampton,Metropolitan District,69,262008,3773
Worcestershire,County,1741,592057,340
Wrexham,Unitary Authority,504,136126,270
York,Unitary Authority,272,209893,772
Hackney and City of London,London Borough,22,288371,17679
